DATE,gold_close,gold_open,gold_high,gold_low,gold_change_pct,gpr_index,gpr_action,gpr_threat,log_price_change,open_close_diff
1985-01-03,302.3,302.3,302.3,302.3,-1.05,97.43,158.94,29.46,-0.010529876826237574,
1985-01-04,303.1,303.1,303.1,303.1,0.26,157.37,156.88,157.03,0.002642882278345237,0.8000000000000114
1985-01-07,298.2,298.2,298.2,298.2,-1.62,105.31,57.27,143.3,-0.01629838173311953,-4.900000000000034
1985-01-08,302.0,302.0,302.0,302.0,1.27,87.40,34.85,130.82,0.012662615044231714,3.8000000000000114
1985-01-09,300.5,300.5,300.5,300.5,-0.5,121.40,103.74,129.79,-0.004979263399607338,-1.5
1985-01-10,303.8,303.8,303.8,303.8,1.1,140.63,77.89,181.9,0.010921836186410159,3.3000000000000114
1985-01-11,304.2,304.2,304.2,304.2,0.13,94.85,130.93,72.81,0.001315789663519993,0.39999999999997726
1985-01-14,299.0,299.0,299.0,299.0,-1.71,211.64,183.47,229.54,-0.017241806434505992,-5.199999999999989
1985-01-15,301.8,301.8,301.8,301.8,0.94,97.17,105.68,102.83,0.009320972943062179,2.8000000000000114
1985-01-16,302.7,302.7,302.7,302.7,0.3,106.33,114.16,95.22,0.0029776696939243126,0.8999999999999773
1985-01-17,305.5,305.5,305.5,305.5,0.93,54.69,62.31,38.98,0.009207562583977168,2.8000000000000114
1985-01-18,308.0,308.0,308.0,308.0,0.82,111.21,63.35,132.11,0.008150004361924408,2.5
1985-01-21,307.2,307.2,307.2,307.2,-0.26,138.41,183.98,76.73,-0.0026007817000573675,-0.8000000000000114
1985-01-22,306.9,306.9,306.9,306.9,-0.1,51.76,61.92,34.43,-0.0009770396478266127,-0.30000000000001137
1985-01-23,300.2,300.2,300.2,300.2,-2.18,124.85,82.97,138.42,-0.022073042426328852,-6.699999999999989
1985-01-24,300.8,300.8,300.8,300.8,0.2,83.65,50.04,97.38,0.0019966728763232953,0.6000000000000227
1985-01-25,298.8,298.8,298.8,298.8,-0.66,70.18,13.99,105.04,-0.006671138817022535,-2.0
1985-01-28,297.7,297.7,297.7,297.7,-0.37,101.50,36.80,138.11,-0.0036881852369315864,-1.1000000000000227
1985-01-29,303.2,303.2,303.2,303.2,1.85,76.81,114.87,47.9,0.01830638574648581,5.5
1985-01-30,302.9,302.9,302.9,302.9,-0.1,16.16,0.00,26.87,-0.0009899357350250026,-0.30000000000001137
1985-01-31,306.6,306.6,306.6,306.6,1.22,111.48,111.14,119.19,0.012141248404522277,3.7000000000000455
1985-02-01,303.6,303.6,303.6,303.6,-0.98,106.61,106.28,88.65,-0.009832920916238833,-3.0
1985-02-04,301.2,301.2,301.2,301.2,-0.79,80.36,89.01,89.09,-0.007936549595736414,-2.400000000000034
1985-02-05,302.0,302.0,302.0,302.0,0.27,174.89,123.07,239.52,0.0026525214491311235,0.8000000000000114
1985-02-06,302.8,302.8,302.8,302.8,0.26,124.22,49.54,165.27,0.002645504188424175,0.8000000000000114
1985-02-07,301.6,301.6,301.6,301.6,-0.4,130.96,76.80,153.74,-0.00397088542949262,-1.1999999999999886
1985-02-08,299.8,299.8,299.8,299.8,-0.6,147.88,103.20,172.16,-0.005986050465303703,-1.8000000000000114
1985-02-11,300.1,300.1,300.1,300.1,0.1,139.18,111.00,154.31,0.0010001667778240567,0.30000000000001137
1985-02-12,302.5,302.5,302.5,302.5,0.8,153.86,126.32,150.52,0.007965525024574644,2.3999999999999773
1985-02-13,303.2,303.2,303.2,303.2,0.23,109.64,140.53,78.14,0.0023113762973204135,0.6999999999999886
1985-02-14,304.1,304.1,304.1,304.1,0.3,80.21,63.97,80.03,0.002963940915102564,0.9000000000000341
1985-02-15,304.0,304.0,304.0,304.0,-0.03,83.96,60.87,88.85,-0.0003288932770972867,-0.10000000000002274
1985-02-19,302.6,302.6,302.6,302.6,-0.46,100.11,72.58,136.21,-0.004615900051966084,-1.3999999999999773
1985-02-20,302.9,302.9,302.9,302.9,0.1,64.59,36.80,92.07,0.0009909166789358605,0.2999999999999545
1985-02-21,299.8,299.8,299.8,299.8,-1.02,85.60,102.40,56.94,-0.010287132364694194,-3.099999999999966
1985-02-22,298.4,298.4,298.4,298.4,-0.47,157.74,104.84,174.89,-0.004680717338891632,-1.400000000000034
1985-02-25,284.2,284.2,284.2,284.2,-4.76,100.13,99.82,97.14,-0.0487566526666055,-14.199999999999989
1985-02-26,285.7,285.7,285.7,285.7,0.53,125.18,115.20,112.1,0.005264093573727142,1.5
1985-02-27,290.8,290.8,290.8,290.8,1.79,120.73,75.22,150.59,0.017693436422636922,5.100000000000023
1985-02-28,287.7,287.7,287.7,287.7,-1.07,144.72,144.28,133.71,-0.010717475101862207,-3.1000000000000227
1985-03-01,287.2,287.2,287.2,287.2,-0.17,146.57,131.51,134.07,-0.0017394333834331085,-0.5
1985-03-04,288.6,288.6,288.6,288.6,0.49,82.61,115.29,68.69,0.004862809165701528,1.400000000000034
1985-03-05,287.9,287.9,287.9,287.9,-0.24,137.31,102.66,171.26,-0.00242844872164043,-0.7000000000000455
1985-03-06,287.4,287.4,287.4,287.4,-0.17,179.06,178.51,148.89,-0.001738223973205619,-0.5
1985-03-07,289.6,289.6,289.6,289.6,0.77,132.50,108.78,129.62,0.007625686866636835,2.2000000000000455
1985-03-08,291.0,291.0,291.0,291.0,0.48,91.80,106.77,63.61,0.004822606659931159,1.3999999999999773
1985-03-11,291.0,291.0,291.0,291.0,0.0,129.74,155.20,115.07,0.0,0.0
1985-03-12,288.4,288.4,288.4,288.4,-0.89,232.91,344.00,143.46,-0.008974861760698583,-2.6000000000000227
1985-03-13,290.2,290.2,290.2,290.2,0.62,183.18,228.27,177.71,0.006221935039293459,1.8000000000000114
1985-03-14,290.7,290.7,290.7,290.7,0.17,177.46,221.14,122.97,0.0017214671147426804,0.5
1985-03-15,292.7,292.7,292.7,292.7,0.69,138.34,76.62,191.73,0.006856386133010029,2.0
1985-03-18,298.8,298.8,298.8,298.8,2.08,124.33,123.95,132.93,0.020626259560822122,6.100000000000023
1985-03-19,316.7,316.7,316.7,316.7,5.99,139.11,138.68,144.59,0.05818050028593173,17.899999999999977
1985-03-20,324.0,324.0,324.0,324.0,2.31,136.23,128.66,143.09,0.022788562247735296,7.300000000000011
1985-03-21,318.5,318.5,318.5,318.5,-1.7,118.59,110.34,157.78,-0.017121040780111313,-5.5
1985-03-22,315.5,315.5,315.5,315.5,-0.94,102.78,110.34,78.89,-0.00946379303095014,-3.0
1985-03-25,314.6,314.6,314.6,314.6,-0.29,75.63,120.63,37.73,-0.0028566913570903392,-0.8999999999999773
1985-03-26,323.7,323.7,323.7,323.7,2.89,95.39,103.74,72.11,0.028515170308021014,9.099999999999966
1985-03-27,330.4,330.4,330.4,330.4,2.07,135.94,71.33,166.58,0.02048688071462425,6.699999999999989
1985-03-28,326.2,326.2,326.2,326.2,-1.27,145.02,136.96,165.02,-0.01279335145990947,-4.199999999999989
1985-03-29,329.2,329.2,329.2,329.2,0.92,87.00,26.69,122.42,0.009154778616001183,3.0
1985-04-01,321.1,321.1,321.1,321.1,-2.46,90.26,89.98,90.07,-0.024912867707446388,-8.099999999999966
1985-04-02,318.7,318.7,318.7,318.7,-0.75,79.06,94.58,92.04,-0.0075023796721776,-2.400000000000034
1985-04-03,321.2,321.2,321.2,321.2,0.78,88.79,68.09,124.95,0.007813760649315956,2.5
1985-04-04,316.7,316.7,316.7,316.7,-1.4,155.72,127.01,188.34,-0.014109028528012553,-4.5
1985-04-08,317.5,317.5,317.5,317.5,0.25,149.37,70.08,204.58,0.0025228647881523686,0.8000000000000114
1985-04-09,323.1,323.1,323.1,323.1,1.76,96.72,96.42,80.42,0.0174840544977063,5.600000000000023
1985-04-10,327.2,327.2,327.2,327.2,1.27,92.44,107.52,76.87,0.012609731898139253,4.099999999999966
1985-04-11,332.2,332.2,332.2,332.2,1.53,115.98,101.17,120.55,0.015165592450602536,5.0
1985-04-12,329.9,329.9,329.9,329.9,-0.69,81.25,37.39,103.94,-0.006947618944658774,-2.3000000000000114
1985-04-15,334.2,334.2,334.2,334.2,1.3,45.75,36.49,45.65,0.012950037926757677,4.300000000000011
1985-04-16,330.5,330.5,330.5,330.5,-1.11,135.51,120.09,150.25,-0.011132956869552303,-3.6999999999999886
1985-04-17,327.3,327.3,327.3,327.3,-0.97,91.43,112.18,70.18,-0.009729477784606134,-3.1999999999999886
1985-04-18,329.7,329.7,329.7,329.7,0.73,77.53,98.37,58.61,0.007305968570550494,2.3999999999999773
1985-04-19,327.0,327.0,327.0,327.0,-0.82,37.08,36.97,30.83,-0.008222979180431992,-2.6999999999999886
1985-04-22,327.7,327.7,327.7,327.7,0.21,50.96,84.68,28.25,0.0021383848075154557,0.6999999999999886
1985-04-23,326.6,326.6,326.6,326.6,-0.34,135.04,95.03,145.32,-0.003362375168404049,-1.099999999999966
1985-04-24,322.0,322.0,322.0,322.0,-1.41,96.34,73.88,110.92,-0.014184634991956525,-4.600000000000023
1985-04-25,322.5,322.5,322.5,322.5,0.16,136.23,57.18,178.86,0.00155159069141885,0.5
1985-04-26,323.5,323.5,323.5,323.5,0.31,53.62,59.40,49.54,0.003095977705127992,1.0
1985-04-29,322.5,322.5,322.5,322.5,-0.31,74.16,0.00,123.34,-0.003095977705128121,-1.0
1985-04-30,321.3,321.3,321.3,321.3,-0.37,101.56,62.31,116.94,-0.0037278701140144154,-1.1999999999999886
1985-05-01,312.5,312.5,312.5,312.5,-2.74,88.73,58.97,122.97,-0.027770796945356637,-8.800000000000011
1985-05-02,313.2,313.2,313.2,313.2,0.22,164.91,85.78,214.64,0.002237494940191867,0.6999999999999886
1985-05-03,312.7,312.7,312.7,312.7,-0.16,106.86,82.86,118.47,-0.0015976996528524118,-0.5
1985-05-06,309.9,309.9,309.9,309.9,-0.9,110.70,50.94,155.78,-0.008994599670093091,-2.8000000000000114
1985-05-07,313.5,313.5,313.5,313.5,1.16,130.76,115.87,144.97,0.01154969527927301,3.6000000000000227
1985-05-08,312.8,312.8,312.8,312.8,-0.22,98.46,112.18,116.96,-0.0022353514018193677,-0.6999999999999886
1985-05-09,315.1,315.1,315.1,315.1,0.74,106.86,106.53,99.96,0.007326040092072881,2.3000000000000114
1985-05-10,314.5,314.5,314.5,314.5,-0.19,87.50,62.31,93.55,-0.001905972622733782,-0.6000000000000227
1985-05-13,321.0,321.0,321.0,321.0,2.07,97.69,106.24,73.85,0.020457046989520583,6.5
1985-05-14,326.5,326.5,326.5,326.5,1.71,108.10,76.98,141.26,0.016988825586469945,5.5
1985-05-15,322.7,322.7,322.7,322.7,-1.16,88.43,108.50,67.87,-0.011706849658569626,-3.8000000000000114
1985-05-16,320.1,320.1,320.1,320.1,-0.81,96.11,51.10,127.87,-0.008089652082098685,-2.599999999999966
1985-05-17,322.5,322.5,322.5,322.5,0.75,142.41,135.80,164.76,0.0074696892600097,2.3999999999999773
1985-05-20,323.3,323.3,323.3,323.3,0.25,108.75,116.75,97.38,0.0024775484955601524,0.8000000000000114
1985-05-21,314.9,314.9,314.9,314.9,-2.6,110.16,141.19,78.51,-0.026325556624408535,-8.400000000000034
1985-05-22,316.3,316.3,316.3,316.3,0.44,139.31,154.32,128.72,0.004436002204624329,1.400000000000034
1985-05-23,315.4,315.4,315.4,315.4,-0.28,115.87,81.54,147.36,-0.0028494557826652797,-0.9000000000000341
1985-05-24,314.7,314.7,314.7,314.7,-0.22,92.94,66.18,110.4,-0.0022218704585768305,-0.6999999999999886
1985-05-28,311.3,311.3,311.3,311.3,-1.08,121.72,173.35,57.84,-0.010862726622798604,-3.3999999999999773
1985-05-29,312.0,312.0,312.0,312.0,0.22,54.87,68.37,57.03,0.0022461103619198066,0.6999999999999886
1985-05-30,314.6,314.6,314.6,314.6,0.83,86.30,79.42,88.32,0.008298802814695064,2.6000000000000227
1985-05-31,314.0,314.0,314.0,314.0,-0.19,107.06,75.34,136.15,-0.0019090047159241192,-0.6000000000000227
1985-06-03,318.1,318.1,318.1,318.1,1.31,120.02,111.67,106.45,0.01297281284684511,4.100000000000023
1985-06-04,315.7,315.7,315.7,315.7,-0.75,77.94,93.24,51.85,-0.007573403191152594,-2.400000000000034
1985-06-05,314.2,314.2,314.2,314.2,-0.48,103.98,103.66,86.46,-0.004762669742425147,-1.5
1985-06-06,314.8,314.8,314.8,314.8,0.19,99.95,99.64,94.98,0.0019077907217274193,0.6000000000000227
1985-06-07,314.3,314.3,314.3,314.3,-0.16,114.46,80.55,134.37,-0.0015895727397262404,-0.5
1985-06-10,312.0,312.0,312.0,312.0,-0.73,148.19,156.43,144.97,-0.007344755994039604,-2.3000000000000114
1985-06-11,315.0,315.0,315.0,315.0,0.96,106.12,90.68,100.85,0.009569451016150672,3.0
1985-06-12,314.5,314.5,314.5,314.5,-0.16,120.84,127.56,106.4,-0.0015885626851378416,-0.5
1985-06-13,313.7,313.7,313.7,313.7,-0.25,128.89,128.50,107.18,-0.0025469609438628226,-0.8000000000000114
1985-06-14,318.2,318.2,318.2,318.2,1.43,112.63,105.68,110.18,0.014243000707054108,4.5
1985-06-17,318.9,318.9,318.9,318.9,0.22,133.57,230.81,59.24,0.0021974581123253684,0.6999999999999886
1985-06-18,323.7,323.7,323.7,323.7,1.51,258.32,287.82,265.34,0.014939586916186702,4.800000000000011
1985-06-19,325.4,325.4,325.4,325.4,0.53,165.63,201.01,203.59,0.005238033852738805,1.6999999999999886
1985-06-20,318.1,318.1,318.1,318.1,-2.24,246.39,300.22,204.88,-0.02268939602983887,-7.2999999999999545
1985-06-21,313.4,313.4,313.4,313.4,-1.48,213.71,288.25,125.44,-0.014885468833178131,-4.7000000000000455
1985-06-24,314.6,314.6,314.6,314.6,0.38,230.51,323.43,170.38,0.0038216607022571437,1.2000000000000455
1985-06-25,315.5,315.5,315.5,315.5,0.29,205.66,307.54,146.58,0.0028566913570903974,0.8999999999999773
1985-06-26,316.7,316.7,316.7,316.7,0.38,170.89,183.47,185.82,0.0037962715633263334,1.1999999999999886
1985-06-27,315.0,315.0,315.0,315.0,-0.54,204.30,232.77,194.15,-0.005382314718960964,-1.6999999999999886
1985-06-28,317.7,317.7,317.7,317.7,0.86,198.24,216.76,223.34,0.008534902449837286,2.6999999999999886
1985-07-01,313.9,313.9,313.9,313.9,-1.2,255.47,322.60,254.92,-0.012033077427562674,-3.8000000000000114
1985-07-02,308.2,308.2,308.2,308.2,-1.82,222.37,275.20,242.29,-0.018325540961892466,-5.699999999999989
1985-07-03,310.3,310.3,310.3,310.3,0.68,142.72,194.70,87.44,0.006790648568319194,2.1000000000000227
1985-07-08,309.2,309.2,309.2,309.2,-0.35,112.29,93.29,124.5,-0.0035512547410676398,-1.1000000000000227
1985-07-09,314.8,314.8,314.8,314.8,1.81,153.03,161.53,149.7,0.017949199829981284,5.600000000000023
1985-07-10,314.8,314.8,314.8,314.8,0.0,197.09,226.71,163.88,0.0,0.0
1985-07-11,313.5,313.5,313.5,313.5,-0.41,150.91,195.58,112.94,-0.004138156470272846,-1.3000000000000114
1985-07-12,312.6,312.6,312.6,312.6,-0.29,174.69,258.00,107.6,-0.0028749420855990995,-0.8999999999999773
1985-07-15,315.8,315.8,315.8,315.8,1.02,136.80,116.90,130.01,0.010184683834165542,3.1999999999999886
1985-07-16,321.7,321.7,321.7,321.7,1.87,108.47,116.46,97.14,0.018510332423438924,5.899999999999977
1985-07-17,325.6,325.6,325.6,325.6,1.21,90.34,30.02,125.2,0.012050199883404725,3.900000000000034
1985-07-18,320.0,320.0,320.0,320.0,-1.72,122.97,137.92,115.04,-0.01734863833461309,-5.600000000000023
1985-07-19,318.9,318.9,318.9,318.9,-0.34,104.27,127.94,80.03,-0.003443421777760389,-1.1000000000000227
